Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode
2007,Mazda,CX-7 Sport,USED,75218,5995,Automatic,White,Beige,FWD,92521
2017,Volvo,S90 T5 Momentum,VOLVO CERTIFIED,0,26000,Automatic,Blue,Orange,FWD,92521
2020,BMW,740i,NEW,0,93945,Automatic,Gray,Black,RWD,92521
2008,Chevrolet,Tahoe Hybrid,USED,95000,14499,CVT,Black,Beige,RWD,92521
2019,BMW,330i,NEW,0,46545,Automatic,Blue,Black,RWD,92521
2017,smart,ForTwo Electric Drive passion,USED,14565,7997,Automatic,White,Black,RWD,92521
2018,Nissan,NV200 S,USED,26446,12997,CVT,White,Gray,FWD,92521
2018,Ford,Focus ST Base,USED,26679,16999,Manual,Black,Black,FWD,92521
2008,Maserati,Quattroporte Sport GT S,USED,62598,12988,Automatic,Black,Black,RWD,92521
2018,Hyundai,Santa Fe Sport 2.0L Turbo Ultimate,USED,3998,18799,Automatic,Black,Black,FWD,92521
2019,Cadillac,XT4 Premium Luxury,USED,4373,27299,Automatic,White,Other,FWD,92521
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075,Automatic,Gray,Black,AWD,92521
2013,Toyota,Venza XLE,USED,66767,12990,Automatic,White,Beige,AWD,92521
2015,Hyundai,Sonata Sport,USED,30424,9990,Automatic,Black,Gray,FWD,92521
2017,Chrysler,Pacifica Hybrid Platinum,USED,0,27975,Automatic,Blue,Other,FWD,92521
1993,Mitsubishi,3000GT VR-4,USED,31648,15850,Manual,Red,Other,AWD,92521
2019,Nissan,Murano SL,USED,1567,24489,CVT,Gray,Gray,AWD,92521
2017,BMW,340 i xDrive,USED,34561,25495,Automatic,White,Red,AWD,92521
2016,Nissan,Maxima 3.5 S,USED,13902,14489,CVT,Red,Beige,FWD,92521
2017,Lincoln,Continental Select,USED,5521,22895,Automatic,Silver,Beige,FWD,92521
2017,GMC,Yukon XL Denali,USED,4213,43489,Automatic,White,Brown,4x4/4-wheel drive,92521
2020,Kia,Telluride LX,USED,7999,35584,Automatic,Gray,Black,AWD,92521
2007,Toyota,Sequoia SR5,USED,66031,13995,Automatic,Green,Beige,4x4/4-wheel drive,92521
2017,Nissan,Sentra SR Turbo,USED,19322,12489,CVT,Gray,Gray,FWD,92521
2007,Suzuki,SX4 JX,USED,135491,4995,Automatic,Black,Gray,AWD,92521
2017,Mazda,CX-9 Grand Touring,USED,10266,20469,Automatic,Blue,Beige,FWD,92521
2019,Chevrolet,1LT,NEW,0,33249,Automatic,Silver,Black,FWD,92521
2004,Subaru,Baja Turbo,USED,82782,8995,Automatic,Silver,Gray,AWD,92521
2008,Jaguar,XJ8 L,USED,46200,10750,Automatic,Other,Gray,RWD,92521
2010,Mercury,Grand Marquis LS,USED,50042,9277,Automatic,Silver,Other,RWD,92521
2008,Chrysler,Sebring Touring,USED,79141,4999,Automatic,White,Other,FWD,92521
2017,Dodge,Grand Caravan SXT,USED,0,10995,Automatic,Black,Black,FWD,92521
2019,Honda,Passport Touring,USED,2061,29979,Automatic,White,Black,AWD,92521
2006,Dodge,Magnum,USED,129761,3995,Automatic,Black,Gray,RWD,92521
2006,Toyota,Camry Solara SE V6,USED,146895,3600,Automatic,White,Other,FWD,92521
2004,Mazda,RX-8,USED,67300,4495,Automatic,Black,Black,RWD,92521
2012,Nissan,GT-R Premium,USED,75100,30000,Automatic,Silver,Beige,AWD,92521
2006,Mercedes-Benz,SL500 Roadster,USED,93300,9700,Automatic,Red,Gray,RWD,92521
2006,Bentley,Continental Flying Spur,USED,41741,34995,Automatic,Other,Other,AWD,92521
2010,Hummer,H3 Luxury Edition,USED,101469,8950,Automatic,Silver,Black,4x4/4-wheel drive,92521
2004,MINI,Cooper S,USED,118842,4995,Manual,Blue,Other,FWD,92521
2014,Ford,Transit Connect XLT,USED,10513,9950,Automatic,Black,Other,FWD,92521
2019,Chevrolet,WORK,NEW,0,66956,Automatic,Red,Gray,4x4/4-wheel drive,92521
