Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode,log_price
2017,Acura,ILX Base,USED,37874,14495.0,Automatic,White,Black,FWD,66203,9.581559041355757
2017,Acura,ILX Base,USED,37874,14495.0,Automatic,White,Black,FWD,89107,9.581559041355757
2015,Acura,TLX V6 Advance,USED,29317,14969.0,Automatic,White,Gray,FWD,89107,9.613736674915236
2016,Acura,ILX Technology Plus Package,USED,22732,13999.0,Automatic,White,Black,FWD,99115,9.546741177474825
2019,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,0,40945.0,Automatic,Black,Black,AWD,66203,10.619984981704288
2014,Acura,ILX 2.0L,USED,61968,9000.0,Automatic,White,Black,FWD,66203,9.104979856318357
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,ACURA CERTIFIED,62984,31977.0,Automatic,Gray,Gray,AWD,75207,10.372772173357246
2012,Acura,TSX 2.4,USED,85125,5900.0,Automatic,Red,Gray,FWD,66203,8.68270762989381
2011,Acura,RL Technology,USED,163000,6800.0,Automatic,Black,Gray,AWD,11101,8.824677891164198
2006,Acura,RSX Type S,USED,124762,9995.0,Manual,Silver,Black,FWD,99115,9.209840246934501
2011,Acura,RL Technology,USED,163000,6800.0,Automatic,Black,Gray,AWD,11101,8.824677891164198
2006,Acura,TL,USED,0,999.0,Automatic,Other,Beige,FWD,66203,6.906754778648554
1991,Acura,Legend L,USED,108584,3450.0,Automatic,White,Beige,FWD,75207,8.146129510025405
2003,Acura,RL 3.5,USED,85492,6597.0,Automatic,Other,Other,FWD,99115,8.794370279222871
2011,Acura,RL Technology,USED,163000,6800.0,Automatic,Black,Gray,AWD,92521,8.824677891164198
2018,Acura,MDX Sport Hybrid 3.0L w/Technology Package,ACURA CERTIFIED,13551,37795.0,Automatic,Black,Black,AWD,99115,10.539932097726277
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,11751,39500.0,Automatic,Black,Black,AWD,66203,10.584055950889214
2017,Acura,ILX Premium & A-SPEC Packages,USED,33453,15999.0,Automatic,Gray,Black,FWD,89107,9.680281499268713
2009,Acura,RL Technology,USED,55321,6500.0,Automatic,Gray,Gray,AWD,99115,8.779557455883728
2019,Acura,RDX Advance Package,ACURA CERTIFIED,5490,41995.0,Automatic,White,Black,AWD,89107,10.645305842559727
2007,Acura,RL,USED,74157,6995.0,Automatic,Blue,Beige,AWD,11101,8.852950887099581
2016,Acura,ILX Technology Plus Package,USED,22732,13999.0,Automatic,White,Black,FWD,66203,9.546741177474825
1994,Acura,Integra LS,USED,154342,2990.0,Manual,Black,Beige,FWD,99115,8.003028666384733
2006,Acura,RSX Type S,USED,124762,9995.0,Manual,Silver,Black,FWD,11101,9.209840246934501
2006,Acura,RSX,USED,86019,7240.0,Automatic,Black,Black,FWD,11101,8.887376485379763
1994,Acura,Integra LS,USED,154342,2990.0,Manual,Black,Beige,FWD,66203,8.003028666384733
2019,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,0,40945.0,Automatic,Black,Black,AWD,89107,10.619984981704288
2017,Acura,ILX Base,USED,37874,14495.0,Automatic,White,Black,FWD,92521,9.581559041355757
2017,Acura,ILX,USED,19998,12995.0,Automatic,Black,Black,FWD,92521,9.47231994707559
2006,Acura,TL,USED,0,999.0,Automatic,Other,Beige,FWD,11101,6.906754778648554
1994,Acura,Integra LS,USED,154342,2990.0,Manual,Black,Beige,FWD,75207,8.003028666384733
2016,Acura,RLX Advance Package,USED,19729,20979.0,Automatic,White,Gray,FWD,92521,9.951277216371977
2015,Acura,TLX Tech,USED,16475,12496.0,Automatic,Other,Other,FWD,89107,9.433163872079467
2017,Acura,ILX Base,USED,37874,14495.0,Automatic,White,Black,FWD,11101,9.581559041355757
2016,Acura,RLX Advance Package,USED,19729,20979.0,Automatic,White,Gray,FWD,89107,9.951277216371977
